日,降水量 合計(mm),降水量 最大1時間(mm),降水量 最大10分間(mm),気温 平均(℃),気温 最高(℃),気温 最低(℃),湿度 平均(%),湿度 最小(%),風向・風速 平均風速(m/s),風向・風速 最大 風速(m/s),風向・風速 最大 風向,風向・風速 最大瞬間 風速(m/s),風向・風速 最大瞬間 風向,風向・風速 最多風向,日照時間(h),雪 降雪の深さの合計(cm),雪 最深積雪(cm)
1,0.0,0.0,0.0,8.6,12.2,2.6,0.0,0.0,1.8,4.1,北西,9.7,北西,北北東,9.1,0.0,0.0
2,0.0,0.0,0.0,4.6,7.3,1.2,0.0,0.0,0.7,2.0,南東,4.0,北東,北西,0.6,0.0,0.0
3,0.0,0.0,0.0,6.0,10.4,0.1,0.0,0.0,0.9,2.1,北北東,3.6,北東,西,0.4,0.0,0.0
4,0.0,0.0,0.0,8.7,15.1,2.6,0.0,0.0,1.4,5.6,北西,11.6,北北西,北,7.1,0.0,0.0
5,0.0,0.0,0.0,5.7,14.8,-0.9,0.0,0.0,1.0,2.9,南,4.7,南,西北西,9.2,0.0,0.0
6,0.0,0.0,0.0,7.4,16.4,0.3,0.0,0.0,0.8,1.8,西,3.2,西,西南西,9.1,0.0,0.0
7,0.0,0.0,0.0,6.6,11.4,0.8,0.0,0.0,1.4,3.8,南,8.8,北東,西北西,5.7,0.0,0.0
8,0.0,0.0,0.0,4.6,9.9,-0.6,0.0,0.0,1.3,3.2,北西,7.6,北西,北北東,9.3,0.0,0.0
9,0.0,0.0,0.0,4.0,11.9,-2.1,0.0,0.0,1.0,2.9,東南東,6.5,南東,西北西,8.9,0.0,0.0
10,0.0,0.0,0.0,6.0,12.9,-0.8,0.0,0.0,1.5,3.1,北北西,7.2,北東,北北東,7.6,0.0,0.0
11,0.0,0.0,0.0,3.6,7.9,-1.5,0.0,0.0,1.3,2.9,北西,7.0,北東,北北西,0.6,0.0,0.0
